"OK";"Southwest"
"OR";"West"
"OR";"West"
"OR";"West"
"OR";"West"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"OR";"West"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"PA";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"RI";"Northeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SC";"Southeast"
"SD";"Midwest"
"SD";"Midwest"
"SD";"Midwest"
"SD";"Midwest"
"SD";"Midwest"
"SD";"Midwest"
"SD";"Midwest"
"SD";"Midwest"
"SD";"Midwest"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TN";"Southeast"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"TX";"Southwest"
"UT";"West"
"UT";"West"
"UT";"West"
"UT";"West"
"UT";"West"
"UT";"West"
"UT";"West"
"UT";"West"
"UT";"West"
"UT";"West"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VA";"Southeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
"VT";"Northeast"
